iteration,game_number,winner,total_moves,player_1_moves,player_minus1_moves,player_1_time_seconds,player_minus1_time_seconds,final_pieces_p1,final_pieces_p_1
19,2,0,50,25,25,2.279,2.219,8,8
19,3,0,191,96,95,8.393,8.528,4,4
19,4,0,50,25,25,2.191,2.36,8,8
19,5,-1,128,64,64,5.7,5.689,2,6
19,6,0,50,25,25,2.702,2.886,8,8
19,7,1,83,42,41,3.497,3.385,8,7
19,8,1,211,106,105,9.961,9.88,5,1
19,9,1,146,73,73,6.518,6.576,6,4
19,10,0,50,25,25,2.217,2.048,8,8
19,11,0,83,42,41,3.511,3.565,6,6
19,12,1,61,31,30,3.06,2.949,8,7
19,13,1,91,46,45,3.857,3.675,8,7
19,14,0,50,25,25,2.8,2.48,8,8
19,15,1,93,47,46,3.802,3.679,2,0
19,16,0,117,59,58,5.755,5.779,7,7
19,17,1,181,91,90,8.125,7.918,7,1
19,18,-1,71,36,35,3.736,3.503,6,7
19,19,1,146,73,73,6.793,6.568,7,6
19,20,0,50,25,25,2.301,1.995,8,8
20,1,0,50,25,25,2.53,2.458,8,8
20,2,1,67,34,33,3.004,2.936,8,6
20,3,1,61,31,30,2.741,2.477,8,7
20,4,-1,164,82,82,7.694,7.646,3,5
20,5,1,147,74,73,6.96,6.943,7,5
20,6,1,93,47,46,4.402,4.052,8,5
20,7,1,223,112,111,10.652,10.481,5,0
20,8,1,137,69,68,6.062,5.794,7,3
20,9,1,122,61,61,5.668,5.223,7,5
20,10,0,50,25,25,2.826,2.572,8,8
20,11,-1,172,86,86,7.794,7.906,2,6
20,12,1,149,75,74,6.925,6.869,6,4
20,13,-1,100,50,50,4.363,4.29,5,7
20,14,1,239,120,119,10.945,10.923,4,1
20,15,1,67,34,33,3.208,2.852,8,7
20,16,1,161,81,80,7.521,7.388,7,4
20,17,-1,196,98,98,9.08,8.828,2,3
20,18,-1,234,117,117,9.943,10.365,2,4
20,19,-1,95,48,47,4.429,4.825,5,6
20,20,1,189,95,94,8.877,8.344,7,0
21,1,1,147,74,73,7.491,7.257,8,4
21,2,0,50,25,25,2.669,2.661,8,8
21,3,0,109,55,54,4.901,4.994,7,7
