iteration,game_number,player,count
31,1,-1,25
31,1,1,25
31,2,-1,25
31,2,1,25
31,3,-1,25
31,3,1,25
31,4,-1,25
31,4,1,25
31,5,-1,25
31,5,1,25
31,6,-1,63
31,6,1,64
31,7,-1,39
31,7,1,40
31,8,-1,25
31,8,1,25
31,9,-1,51
31,9,1,51
31,10,-1,49
31,10,1,50
31,11,-1,60
31,11,1,60
31,12,-1,25
31,12,1,25
31,13,-1,28
31,13,1,29
31,14,-1,52
31,14,1,53
31,15,-1,53
31,15,1,53
31,16,-1,57
31,16,1,57
31,17,-1,95
31,17,1,96
31,18,-1,52
31,18,1,53
31,19,-1,25
31,19,1,25
31,20,-1,77
31,20,1,78
32,1,-1,25
32,1,1,25
32,2,-1,54
32,2,1,55
32,3,-1,35
32,3,1,36
32,4,-1,25
32,4,1,25
32,5,-1,113
32,5,1,113
32,6,-1,34
32,6,1,34
32,7,-1,50
32,7,1,50
32,8,-1,75
32,8,1,76
32,9,-1,69
32,9,1,69
32,10,-1,28
32,10,1,29
32,11,-1,25
32,11,1,25
32,12,-1,30
32,12,1,31
32,13,-1,25
32,13,1,25
32,14,-1,35
32,14,1,36
32,15,-1,36
32,15,1,37
32,16,-1,64
32,16,1,65
32,17,-1,49
32,17,1,50
32,18,-1,80
32,18,1,81
32,19,-1,28
32,19,1,29
32,20,-1,25
32,20,1,25
33,1,-1,25
33,1,1,25
33,2,-1,25
33,2,1,25
33,3,-1,169
33,3,1,169
33,4,-1,58
33,4,1,59
33,5,-1,31
33,5,1,31
33,6,-1,25
33,6,1,25
33,7,-1,25
33,7,1,25
33,8,-1,60
33,8,1,60
33,9,-1,25
33,9,1,25
33,10,-1,65
33,10,1,66
33,11,-1,37
33,11,1,38
33,12,-1,25
33,12,1,25
33,13,-1,25
33,13,1,25
33,14,-1,25
33,14,1,25
33,15,-1,25
33,15,1,25
33,16,-1,25
33,16,1,25
33,17,-1,25
33,17,1,25
33,18,-1,31
33,18,1,32
33,19,-1,25
33,19,1,25
33,20,-1,27
33,20,1,28
34,1,-1,86
34,1,1,86
34,2,-1,111
34,2,1,111
34,3,-1,29
34,3,1,30
34,4,-1,48
34,4,1,48
34,5,-1,108
34,5,1,109
34,6,-1,55
34,6,1,55
34,7,-1,59
34,7,1,60
34,8,-1,36
34,8,1,37
34,9,-1,94
34,9,1,94
34,10,-1,77
34,10,1,78
34,11,-1,70
34,11,1,71
34,12,-1,42
34,12,1,42
34,13,-1,25
34,13,1,25
34,14,-1,63
34,14,1,64
34,15,-1,61
34,15,1,61
34,16,-1,61
34,16,1,62
34,17,-1,79
34,17,1,79
34,18,-1,31
34,18,1,31
34,19,-1,34
34,19,1,35
34,20,-1,105
34,20,1,105
35,1,-1,25
35,1,1,25
35,2,-1,25
35,2,1,25
35,3,-1,118
35,3,1,119
35,4,-1,36
35,4,1,37
35,5,-1,25
35,5,1,25
35,6,-1,64
35,6,1,65
35,7,-1,25
35,7,1,25
35,8,-1,43
35,8,1,44
35,9,-1,89
35,9,1,90
35,10,-1,25
35,10,1,25
35,11,-1,25
35,11,1,25
35,12,-1,111
35,12,1,111
35,13,-1,38
35,13,1,39
35,14,-1,34
35,14,1,35
35,15,-1,25
35,15,1,25
35,16,-1,25
35,16,1,25
35,17,-1,76
35,17,1,77
35,18,-1,72
35,18,1,72
35,19,-1,99
35,19,1,100
35,20,-1,76
35,20,1,76
36,1,-1,58
36,1,1,59
36,2,-1,25
36,2,1,25
36,3,-1,83
36,3,1,83
36,4,-1,52
36,4,1,52
36,5,-1,102
36,5,1,103
36,6,-1,41
36,6,1,42
36,7,-1,49
36,7,1,49
36,8,-1,94
36,8,1,94
36,9,-1,71
36,9,1,71
36,10,-1,67
36,10,1,67
36,11,-1,76
36,11,1,76
36,12,-1,57
36,12,1,58
36,13,-1,84
36,13,1,84
36,14,-1,33
36,14,1,34
36,15,-1,25
36,15,1,25
36,16,-1,89
36,16,1,90
36,17,-1,25
36,17,1,25
36,18,-1,25
36,18,1,25
36,19,-1,25
36,19,1,25
36,20,-1,25
36,20,1,25
37,1,-1,25
37,1,1,25
37,2,-1,25
37,2,1,25
37,3,-1,68
37,3,1,69
37,4,-1,25
37,4,1,25
37,5,-1,67
37,5,1,68
37,6,-1,129
37,6,1,129
37,7,-1,25
37,7,1,25
37,8,-1,34
37,8,1,35
37,9,-1,25
37,9,1,25
37,10,-1,53
37,10,1,54
37,11,-1,99
37,11,1,99
37,12,-1,108
37,12,1,109
37,13,-1,28
37,13,1,29
37,14,-1,51
37,14,1,51
37,15,-1,43
37,15,1,43
37,16,-1,25
37,16,1,25
37,17,-1,25
37,17,1,25
37,18,-1,71
37,18,1,72
37,19,-1,25
37,19,1,25
37,20,-1,70
37,20,1,70
38,1,-1,39
38,1,1,40
38,2,-1,54
38,2,1,55
38,3,-1,75
38,3,1,76
38,4,-1,25
38,4,1,25
38,5,-1,85
38,5,1,86
38,6,-1,25
38,6,1,25
38,7,-1,37
38,7,1,37
38,8,-1,93
38,8,1,93
38,9,-1,52
38,9,1,53
38,10,-1,69
38,10,1,69
38,11,-1,37
38,11,1,38
38,12,-1,25
38,12,1,25
38,13,-1,51
38,13,1,51
38,14,-1,53
38,14,1,53
38,15,-1,45
38,15,1,45
38,16,-1,40
38,16,1,41
38,17,-1,163
38,17,1,164
38,18,-1,68
38,18,1,69
38,19,-1,31
38,19,1,32
38,20,-1,65
38,20,1,66
39,1,-1,48
39,1,1,49
39,2,-1,25
39,2,1,25
39,3,-1,32
39,3,1,33
39,4,-1,27
39,4,1,27
39,5,-1,25
39,5,1,25
39,6,-1,39
39,6,1,40
39,7,-1,25
39,7,1,25
39,8,-1,93
39,8,1,94
39,9,-1,42
39,9,1,42
39,10,-1,25
39,10,1,25
39,11,-1,71
39,11,1,72
39,12,-1,109
39,12,1,110
39,13,-1,44
39,13,1,44
39,14,-1,40
39,14,1,41
39,15,-1,57
39,15,1,58
39,16,-1,25
39,16,1,25
39,17,-1,25
39,17,1,25
39,18,-1,80
39,18,1,81
39,19,-1,30
39,19,1,31
39,20,-1,46
39,20,1,47
40,1,-1,33
40,1,1,34
40,2,-1,47
40,2,1,47
40,3,-1,36
40,3,1,36
40,4,-1,25
40,4,1,25
40,5,-1,93
40,5,1,93
40,6,-1,78
40,6,1,78
40,7,-1,68
40,7,1,69
40,8,-1,25
40,8,1,25
40,9,-1,53
40,9,1,53
40,10,-1,76
40,10,1,77
40,11,-1,25
40,11,1,25
40,12,-1,25
40,12,1,25
40,13,-1,110
40,13,1,110
40,14,-1,25
40,14,1,25
40,15,-1,29
40,15,1,30
40,16,-1,25
40,16,1,25
40,17,-1,58
40,17,1,59
40,18,-1,60
40,18,1,60
40,19,-1,25
40,19,1,25
40,20,-1,107
40,20,1,107
41,1,-1,25
